instance,n,root lb,root ub,root gap,root time,ub,lb,gap,time,nodes
in18_278.out,125,15672,15807,0.86,28800,15672,15807,0.86,28800,1
in18_279.out,125,13592,13730,1.02,28800,13592,13730,1.02,28800,1
in18_280.out,125,14551,14666,0.79,28800,14551,14666,0.79,28800,1
in18_281.out,125,13203,13282,0.60,28800,13203,13282,0.60,28800,1
in18_282.out,125,12203,12274,0.58,28800,12203,12274,0.58,28800,1
in18_283.out,125,13145,13234,0.68,28800,13145,13234,0.68,28800,1
in18_284.out,125,13058,13143,0.65,28800,13058,13143,0.65,28800,1
in18_285.out,125,14052,14109,0.41,28800,14052,14109,0.41,28800,1
in18_286.out,125,12796,12861,0.51,28800,12796,12861,0.51,28800,1
in18_287.out,125,13403,13442,0.29,28800,13403,13442,0.29,28800,1
in18_288.out,125,13586,13634,0.35,28800,13586,13634,0.35,28800,1
in18_289.out,125,14478,14561,0.57,28800,14478,14561,0.57,28800,1
in18_290.out,125,12387,12441,0.44,28800,12387,12441,0.44,28800,1
in18_291.out,125,12881,12940,0.46,28800,12881,12940,0.46,28800,1
in18_292.out,125,14082,14141,0.42,28800,14082,14141,0.42,28800,1
in18_293.out,125,12370,12452,0.66,28800,12370,12452,0.66,28800,1
in18_294.out,125,13343,13442,0.74,28800,13343,13442,0.74,28800,1
in18_295.out,125,14207,14255,0.34,28800,14207,14255,0.34,28800,1
in18_296.out,125,14096,14146,0.35,28800,14096,14146,0.35,28800,1
in18_297.out,125,12874,12954,0.62,28800,12874,12954,0.62,28800,1
in18_298.out,125,13926,14000,0.53,28800,13926,14000,0.53,28800,1
in18_299.out,125,12412,12451,0.31,28800,12412,12451,0.31,28800,1
in18_300.out,125,13790,13847,0.41,26347.6,13790,13847,0.41,28800,1
in18_301.out,150,17496,27057,54.65,28800,17496,27057,54.65,28800,1
in18_302.out,150,17844,27119,51.98,28800,17844,27119,51.98,28800,1
in18_303.out,150,27605,27605,0.00,18776.8,27605,27605,0.00,18776.8,1
in18_304.out,150,27015,27016,0.00,28800,27015,27016,0.00,28800,1
in18_305.out,150,27039,27039,0.00,22502.9,27039,27039,0.00,22502.9,1
in18_306.out,150,23852,27371,14.75,28800,23852,27371,14.75,28800,1
in18_307.out,150,26965,26965,0.00,12488.4,26965,26965,0.00,12488.4,1
in18_308.out,150,27125,27126,0.00,28800,27125,27126,0.00,28800,1
in18_309.out,150,22819,27319,19.72,28800,22819,27319,19.72,28800,1
in18_310.out,150,27089,27089,0.00,14506.9,27089,27089,0.00,14507,1
in18_311.out,150,12267,27305,122.59,28800,12267,27305,122.59,28800,1
in18_312.out,150,27121,27121,0.00,14471.7,27121,27121,0.00,14471.8,1
in18_313.out,150,27142,27143,0.00,28800,27142,27143,0.00,28800,1
in18_314.out,150,26682,27163,1.80,28800,26682,27163,1.80,28800,1
in18_315.out,150,26526,27324,3.01,28800,26526,27324,3.01,28800,1
in18_316.out,150,27052,27058,0.02,28800,27052,27058,0.02,28800,1
in18_317.out,150,25403,27337,7.61,28800,25403,27337,7.61,28800,1
in18_318.out,150,27007,27007,0.00,16591.8,27007,27007,0.00,16591.8,1
in18_319.out,150,26968,26968,0.00,22020.4,26968,26968,0.00,22020.4,1
in18_320.out,150,20774,27539,32.56,28800,20774,27539,32.56,28800,1
in18_321.out,150,17387,17563,1.01,28800,17387,17563,1.01,28800,1
in18_322.out,150,16842,17012,1.01,28800,16842,17012,1.01,28800,1
in18_323.out,150,17051,17207,0.91,28800,17051,17207,0.91,28800,1
in18_324.out,150,16787,16940,0.91,28800,16787,16940,0.91,28800,1
in18_325.out,150,15997,16213,1.35,28800,15997,16213,1.35,28800,1
in18_326.out,150,16200,16425,1.39,28800,16200,16425,1.39,28800,1
in18_327.out,150,16353,16469,0.71,28800,16353,16469,0.71,28800,1
in18_328.out,150,15569,15776,1.33,28800,15569,15776,1.33,28800,1
in18_329.out,150,15091,15274,1.21,28800,15091,15274,1.21,28800,1
in18_330.out,150,16341,16470,0.79,28800,16341,16470,0.79,28800,1
in18_331.out,150,16106,16260,0.96,28800,16106,16260,0.96,28800,1
in18_332.out,150,16106,16267,1.00,28800,16106,16267,1.00,28800,1
in18_333.out,150,15999,16139,0.88,28800,15999,16139,0.88,28800,1
in18_334.out,150,16693,16884,1.14,28800,16693,16884,1.14,28800,1
in18_335.out,150,15989,16179,1.19,28800,15989,16179,1.19,28800,1
in18_336.out,150,16127,16298,1.06,28800,16127,16298,1.06,28800,1
in18_337.out,150,16318,16530,1.30,28800,16318,16530,1.30,28800,1
in18_338.out,150,16238,16397,0.98,28800,16238,16397,0.98,28800,1
in18_339.out,150,16590,16742,0.92,28800,16590,16742,0.92,28800,1
in18_340.out,150,16580,16678,0.59,28800,16580,16678,0.59,28800,1
in18_341.out,150,16530,16638,0.65,28800,16530,16638,0.65,28800,1
in18_342.out,150,15744,15845,0.64,28800,15744,15845,0.64,28800,1
in18_343.out,150,15304,15400,0.63,28800,15304,15400,0.63,28800,1
in18_344.out,150,15632,15738,0.68,28800,15632,15738,0.68,28800,1
in18_345.out,150,15814,15890,0.48,28800,15814,15890,0.48,28800,1
in18_346.out,150,17358,17468,0.63,28800,17358,17468,0.63,28800,1
in18_347.out,150,16106,16178,0.45,28800,16106,16178,0.45,28800,1
in18_348.out,150,16069,16126,0.35,28800,16069,16126,0.35,28800,1
in18_349.out,150,16535,16650,0.70,28800,16535,16650,0.70,28800,1
in18_350.out,150,14839,14915,0.51,28800,14839,14915,0.51,28800,1
in18_351.out,150,15758,15847,0.56,28800,15758,15847,0.56,28800,1
in18_352.out,150,15756,15852,0.61,28800,15756,15852,0.61,28800,1
in18_353.out,150,16221,16319,0.60,28800,16221,16319,0.60,28800,1
in18_354.out,150,15105,15222,0.77,28800,15105,15222,0.77,28800,1
in18_355.out,150,15722,15810,0.56,28800,15722,15810,0.56,28800,1
in18_356.out,150,15086,15201,0.76,28800,15086,15201,0.76,28800,1
in18_357.out,150,14462,14562,0.69,28800,14462,14562,0.69,28800,1
in18_358.out,150,17124,17233,0.64,28800,17124,17233,0.64,28800,1
in18_359.out,150,15209,15309,0.66,28800,15209,15309,0.66,28800,1
in18_360.out,150,16369,16487,0.72,28800,16369,16487,0.72,28800,1
