instance,best c_max,avg c_max,avg time
in02_166.dat,8361,8371.7,11.35
in02_167.dat,8443,8452.3,11.06
in02_168.dat,7990,7997.5,9.9
in02_169.dat,9014,9020.6,11.34
in02_170.dat,8321,8329.7,11.87
in02_171.dat,6850,6854,10.25
in02_172.dat,9297,9301.8,10.5
in02_173.dat,7642,7653.8,10.66
in02_174.dat,7625,7637,10.5
in02_175.dat,7451,7457.5,10.13
in02_176.dat,7178,7191.9,10.85
in02_177.dat,8080,8086.8,11.36
in02_178.dat,7832,7847.8,11.28
in02_179.dat,7664,7674.2,11.55
in02_180.dat,8007,8010.8,11.3
in02_181.dat,10972,10992.9,23.09
in02_182.dat,10061,10073.1,24.19
in02_183.dat,10580,10595.5,22.91
in02_184.dat,10607,10624.2,22.35
in02_185.dat,10382,10397.1,21.95
in02_186.dat,10130,10142.6,22.17
in02_187.dat,10520,10532.8,20.23
in02_188.dat,11605,11620.9,24.14
in02_189.dat,10872,10885.4,24.65
in02_190.dat,10218,10231.6,22.82
in02_191.dat,10576,10592.3,23.86
in02_192.dat,10845,10867.3,22.86
in02_193.dat,10799,10806.4,23.49
in02_194.dat,11288,11308.8,22.23
in02_195.dat,10853,10868.2,23.69
in02_196.dat,9786,9794.9,21.26
in02_197.dat,10625,10635.4,23.27
in02_198.dat,11746,11756.3,23.29
in02_199.dat,11435,11442.6,21.52
in02_200.dat,12109,12142.5,23.57
in02_201.dat,9784,9794,23.19
in02_202.dat,11084,11094.8,23.06
in02_203.dat,10924,10944.3,22.41
in02_204.dat,9750,9758.9,24.33
in02_205.dat,9963,9971.1,22.14
in02_206.dat,10277,10294.7,23.5
in02_207.dat,10129,10148.4,21.55
in02_208.dat,9652,9663.2,22.32
in02_209.dat,10144,10154.6,22.85
in02_210.dat,10114,10135.6,22.7
in02_211.dat,10629,10642.4,23.92
in02_212.dat,11404,11413.6,23.08
in02_213.dat,10713,10728.5,23.73
in02_214.dat,9411,9421.8,21.56
in02_215.dat,10334,10343.1,22.71
in02_216.dat,10235,10239.8,21.95
in02_217.dat,11439,11448.7,22.39
in02_218.dat,11143,11156.7,22.72
in02_219.dat,9925,9945.9,20.17
in02_220.dat,10844,10855.3,22.91
in02_221.dat,11193,11209.4,22.58
in02_222.dat,10265,10277.4,22.91
in02_223.dat,9947,9972.1,23.47
in02_224.dat,10873,10883.6,22.86
in02_225.dat,10431,10442.1,22.73
in02_226.dat,10162,10179.7,24.62
in02_227.dat,10121,10139.5,24.21
in02_228.dat,9743,9750.2,21.07
in02_229.dat,10423,10432.2,20.96
in02_230.dat,10468,10488.4,19.55
in02_231.dat,10100,10111.7,24
in02_232.dat,9806,9822,21.46
in02_233.dat,10405,10420.2,24
in02_234.dat,10563,10573.7,24.35
in02_235.dat,10247,10264.2,23.02
in02_236.dat,10376,10385.2,24.39
in02_237.dat,11089,11099.2,21.37
in02_238.dat,9706,9723.2,20.72
in02_239.dat,10137,10146.2,23.62
in02_240.dat,10787,10795.9,23.01
in02_241.dat,12990,13000.2,40.28
in02_242.dat,12199,12211.9,38.41
in02_243.dat,13118,13142.1,39
in02_244.dat,12974,12991.2,40.2
in02_245.dat,12447,12463.5,40.3
in02_246.dat,13924,13938,40.16
in02_247.dat,12899,12911.4,39.96
in02_248.dat,13257,13270.4,38.65
in02_249.dat,13073,13083.4,38.26
in02_250.dat,12315,12334,39.24
in02_251.dat,12963,12984.2,40.13
in02_252.dat,13221,13239,39.09
in02_253.dat,12585,12597.2,36.65
in02_254.dat,12422,12439.4,38.71
in02_255.dat,13985,13996.4,38.06
in02_256.dat,13480,13494.3,40.23
in02_257.dat,12602,12624.1,36.78
in02_258.dat,13588,13601.7,36.95
in02_259.dat,12703,12710.1,38.99
in02_260.dat,13462,13474.1,38.14
in02_261.dat,12751,12764.3,38.06
in02_262.dat,13797,13808.6,40.32
in02_263.dat,12362,12368.1,35.91
in02_264.dat,12687,12707.7,40.27
in02_265.dat,12458,12473,42.99
in02_266.dat,13113,13135.7,39.36
in02_267.dat,12640,12650.4,39.14
in02_268.dat,13958,13966.6,39.82
in02_269.dat,12259,12273.8,39.45
in02_270.dat,13706,13722,42.22
in02_271.dat,13824,13835.3,42.38
in02_272.dat,13773,13788,40.61
in02_273.dat,13423,13440.4,40.73
in02_274.dat,11961,11977.5,38.27
in02_275.dat,12895,12915.5,40.88
in02_276.dat,12786,12808.8,38.01
in02_277.dat,12927,12939.8,38.12
in02_278.dat,12143,12150.3,40.81
in02_279.dat,13179,13199.8,39.46
in02_280.dat,13720,13736.2,38.48
in02_281.dat,11949,11960.7,38.91
in02_282.dat,13537,13560.2,40.91
in02_283.dat,13111,13131.1,37.28
in02_284.dat,12352,12361.4,39.43
in02_285.dat,13955,13973.6,40.78
in02_286.dat,13362,13375,37.5
in02_287.dat,12311,12325.9,36.26
in02_288.dat,14084,14093.3,39.17
in02_289.dat,12130,12142.5,39.33
in02_290.dat,13384,13401,38.85
in02_291.dat,13680,13693.2,38.18
in02_292.dat,13807,13818.3,38.65
in02_293.dat,13755,13768.2,36.48
in02_294.dat,12619,12633.2,38.49
in02_295.dat,12178,12189.2,38.07
in02_296.dat,12366,12383.2,40.64
in02_297.dat,13694,13714.8,40.72
in02_298.dat,13522,13534.9,40.67
in02_299.dat,12343,12358.2,40.77
in02_300.dat,13345,13355.6,37.77
in02_301.dat,14777,14787.8,57.78
in02_302.dat,15612,15621.1,61.59
in02_303.dat,14893,14903.8,56.08
in02_304.dat,16424,16439.7,57.06
in02_305.dat,15064,15099.3,60.58
in02_306.dat,15297,15310.1,55.8
in02_307.dat,14410,14424.6,60.13
in02_308.dat,16026,16034.4,59.96
in02_309.dat,15499,15514.9,54.99
in02_310.dat,15356,15387.1,59.29
in02_311.dat,14975,14990.2,61.92
in02_312.dat,15627,15652.2,56.86
in02_313.dat,16342,16358.4,55.01
in02_314.dat,16658,16673.6,59.56
in02_315.dat,15191,15205.3,61.45
in02_316.dat,15130,15151.3,56.55
in02_317.dat,15466,15483.4,60.23
in02_318.dat,16182,16202.2,51.67
in02_319.dat,16003,16025.2,64.94
in02_320.dat,15760,15779.3,59.92
in02_321.dat,15815,15826.4,57.56
in02_322.dat,16419,16435.3,55.76
in02_323.dat,16328,16353.3,58.68
in02_324.dat,15272,15290,61.9
in02_325.dat,14876,14905.9,57.07
in02_326.dat,14839,14860.8,59.21
in02_327.dat,15325,15341.8,61.48
in02_328.dat,15494,15507.1,58.45
in02_329.dat,15257,15269.4,56.36
in02_330.dat,15560,15582.5,61.74
in02_331.dat,15168,15180.4,58.39
in02_332.dat,14825,14837.5,64.41
in02_333.dat,14600,14635.7,59.27
in02_334.dat,14798,14808.3,54.56
in02_335.dat,15829,15846.1,56.28
in02_336.dat,16602,16620.2,52.3
in02_337.dat,15985,16018.3,56.56
in02_338.dat,15537,15559.5,58.4
in02_339.dat,15989,16007.5,61.84
in02_340.dat,15245,15260.6,58.61
in02_341.dat,16765,16783.9,61.22
in02_342.dat,15533,15551.2,57.49
in02_343.dat,15964,15975.3,56.6
in02_344.dat,15893,15905.3,53.61
in02_345.dat,14951,14975.6,64.09
in02_346.dat,14728,14742.1,53.9
in02_347.dat,16123,16149.6,57.24
in02_348.dat,14546,14570.1,58.57
in02_349.dat,15257,15284.4,56.1
in02_350.dat,16207,16216.8,53.69
in02_351.dat,16111,16125.4,58.64
in02_352.dat,15928,15938.8,58.09
in02_353.dat,15097,15106.6,59.86
in02_354.dat,14982,14996.6,56.18
in02_355.dat,14558,14573.7,54.87
in02_356.dat,15326,15335.7,61.93
in02_357.dat,15923,15942.2,54.67
in02_358.dat,15990,16003.8,59.48
in02_359.dat,15824,15844.9,54.84
in02_360.dat,16849,16867.3,57.56
in06_001.dat,2569,2569,0.63
in06_002.dat,2627,2627,0.67
in06_003.dat,2881,2881,0.62
in06_004.dat,2887,2887,0.62
in06_005.dat,2922,2922,0.62
in06_006.dat,3117,3117,0.64
